exchange,pairs,route,price,high,low,percentage,absolute
bitfinex,btcusd,https://api.cryptowat.ch/markets/bitfinex/btcusd,45144,47167,44266,-0.02,-945.5
bitfinex,ltcusd,https://api.cryptowat.ch/markets/bitfinex/ltcusd,170.14,184.47,163.03,-0.06,-10.07
bitfinex,ltcbtc,https://api.cryptowat.ch/markets/bitfinex/ltcbtc,0.0,0.0,0.0,-0.04,-0.0
bitfinex,ethusd,https://api.cryptowat.ch/markets/bitfinex/ethusd,3045.7,3291.4,2955,-0.04,-137.4
bitfinex,ethbtc,https://api.cryptowat.ch/markets/bitfinex/ethbtc,0.07,0.07,0.07,-0.02,-0.0
bitfinex,etcbtc,https://api.cryptowat.ch/markets/bitfinex/etcbtc,0.0,0.0,0.0,-0.07,-0.0
bitfinex,etcusd,https://api.cryptowat.ch/markets/bitfinex/etcusd,63.17,71.51,59.62,-0.09,-5.94
bitfinex,eosbtc,https://api.cryptowat.ch/markets/bitfinex/eosbtc,0.0,0.0,0.0,-0.06,-0.0
bitfinex,eosusd,https://api.cryptowat.ch/markets/bitfinex/eosusd,4.99,5.68,4.73,-0.08,-0.43
bitfinex,eoseth,https://api.cryptowat.ch/markets/bitfinex/eoseth,0.0,0.0,0.0,-0.03,-0.0
bitfinex,iotabtc,https://api.cryptowat.ch/markets/bitfinex/iotabtc,0.0,0.0,0.0,-0.06,-0.0
bitfinex,iotausd,https://api.cryptowat.ch/markets/bitfinex/iotausd,1.02,1.14,0.96,-0.08,-0.09
bitfinex,iotaeth,https://api.cryptowat.ch/markets/bitfinex/iotaeth,0.0,0.0,0.0,-0.04,-0.0
bitfinex,zecusd,https://api.cryptowat.ch/markets/bitfinex/zecusd,140.43,159.69,135.35,-0.08,-12.23
bitfinex,zecbtc,https://api.cryptowat.ch/markets/bitfinex/zecbtc,0.0,0.0,0.0,-0.06,-0.0
bitfinex,dashusd,https://api.cryptowat.ch/markets/bitfinex/dashusd,196.77,211.33,185.92,-0.02,-4.53
bitfinex,dashbtc,https://api.cryptowat.ch/markets/bitfinex/dashbtc,0.0,0.0,0.0,-0.0,-0.0
bitfinex,xrpbtc,https://api.cryptowat.ch/markets/bitfinex/xrpbtc,0.0,0.0,0.0,-0.05,-0.0
bitfinex,xrpusd,https://api.cryptowat.ch/markets/bitfinex/xrpusd,1.11,1.22,1.05,-0.07,-0.08
bitfinex,xmrbtc,https://api.cryptowat.ch/markets/bitfinex/xmrbtc,0.01,0.01,0.01,-0.05,-0.0
bitfinex,xmrusd,https://api.cryptowat.ch/markets/bitfinex/xmrusd,254.28,277.89,244.89,-0.07,-17.79
bitfinex,omgbtc,https://api.cryptowat.ch/markets/bitfinex/omgbtc,0.0,0.0,0.0,-0.06,-0.0
